id;отзыв;тональность
27;"закончил обучение в мае 2023 года. проходил по программе цифровых профессий. на тот момент курс стоил 70 тысяч рублей. остался весьма доволен, но есть несколько ""но"". первое и самое раздражающее: порой замечания к проектам от ревьюеров расходятся с теми знаниями, которые даются в тренажере. второе: указывается, что если ты не согласен и приводишь обоснованные аргументы, то можно не соглашаться с ревьюерами. по факту - нет, ревьюер споров не ведет, прав только он и точка. третье: наставник зачастую отвечает лишь раз в день даже в будни, что не очень то и удобно, когда ты работаешь и ответ на вопрос нужен именно в момент прохождения обучения.но все это, должен сказать, очень закаляюще, т.к. в работе и не такое случается, когда проект один, а работающих над ним - десятки, и со всеми нужно считаться)";нейтрал
28;Хочу поблагодарить команду Skillbox за их работу и внимание к студентам. Курс по 1С оказался для меня очень полезным: четкая обратная связь, понятные объяснения, живая подача материала. Особенно благодарен кураторам и преподавателям за отзывчивость. После обучения смог перевести пять баз в типовую конфигурацию, перенести изменения в расширения и начать дорабатывать конфигурации Зарплата и Бухгалтерия. Для старта в профессии этого курса мне хватило с головой.;позитив
29;Реклама Нетологии сработала и я купил курс. Кроме видео лекций (поверхностных) там нет больше ничего. Всю инфу вам придется добывать самим. Зачем платить деньги, если создатели курса палец о палец не ударили. Фейспалм и разочарование. Кроме того, на любой вопрос вам отвечают по много-много дней. Решил вернуть деньги. В итоге с гулькин нос получил. Просто обворовывание , по-другому не назовешь. Разозлен сильно. Желаю этой конторе ничего хорошего;негатив
30;Приобрела курс менеджер маркетплейсов. Передумала обучаться у них,сначала уговорили заморозить,когда я решила все-таки вернуть средства, как было обещано, ответ представителя-средств к возврату нет,(по факту материала было доступно и пройдено менее 20%,полсе заморозки доступ к кабинету блокируется). Считаю данные действия мошенничеством, дозвониться не возможно. Буду обращаться в суд.;негатив
31;Прошел базовый и продвинутый курсы по Android-разработке в Нетологии, и в целом впечатления положительные. Материал предоставлен полностью, но иногда сложно уложиться в неделю на выполнение заданий. Видео материалы хороши, за исключением устаревших записей на базовом курсе. Наставники понравились, всегда готовы объяснить трудные моменты. Однако, рекомендуют изучить Java до обучения. В общем, по соотношению стоимости, объема материала и затраченного времени - хорошие курсы, но только если вы готовы тратить много времени на их изучение.;нейтрал
32;Курс тестировщика в Нетологии оказался тяжелее, чем я ожидал. Особенно сложной была часть по автоматизации, и если бы я знал об этом заранее, возможно, выбрал бы другой курс. Тем не менее, я рад, что прошел через это – теперь у меня есть базовые навыки и понимание, как это работает. Преподаватели помогали, хотя не всегда оперативно. Курс требует много самостоятельной работы и усилий, но знания, полученные на нем, стоят того.;нейтрал
33;Я купил курс на тестировщика. Обучение понравилось своей простотой и структурой, все подано понятно и доступно. Но главное, что я хочу отметить, это кураторы. С первой же недели у меня был замечательный наставник, который сопровождал меня и в процессе основной учебы, и во время подготовки итогового проекта. Работать с ней было легко и приятно. Потом был еще один куратор, тоже внимательный и увлеченный своей работой. Благодаря им обучение стало не просто полезным, а вдохновляющим.;позитив
34;Обучаюсь недавно ,начала курс инженер по тестированию,но решила заменить на то,что ближе по работе,попросила замену курса ,отзывчивые менеджеры очень быстро подобрали другой ,за что им спасибо! В целом платформа очень удобная, граммотно подобран материал , внимательные кураторы , однозначно рекомендую,думаю ,что пройду не один курс ,также в подарок получила два курса по SQL,очень довольна всем.;позитив
35;Из плюсов -теория структурирована, общение налажено в мессенджере отлично, материал интересный, тренажёры реальные, куратор и наставники всегда на связи, можно оформить каникулы, очень подробно объясняют, как работать в той или иной программе. Из минусов- нагрузка распределена не равномерно, на тему сорсинга хотелось бы больше времени и практических занятий, потому что тема сложная и объемная, очень долгое ожидание ревью дипломного проекта, ну и неплохо было бы ввести какой-то словарь начинающего рекрутера, где были бы отражены основные термины, языки и их Фреймворки и библиотеки.;нейтрал
36;"Взяла курс ""Системный аналитик"" в Нетологии. Сразу скажу, что курс для тех, кто уже имеет хоть какое-то представление об аналитике. Много материала, местами трудновато, но тем не менее я разобралась в BPMN и SQL, хоть и не без труда. Преподаватели старались помочь, хотя иногда хотелось больше конкретики. В целом, курс дал нужные знания, но надо быть готовым к сложностям.";позитив
37;"Сегодня мы пройдем электротехнику, завтра изучим работу с базами данных, далее день на SCADA системы, и ещё, сложная часть, два дня на ПЛК.Десять лет в АСУТП, работаю не по специальности, решил проверить чему учат...Однозначно, не там проверять решил. Тут не учат ни чему.Бросил курсы.. надеюсь никогда не встречу ""специалиста"" окончившего курсы ""бредологии"".";негатив
38;Про суммы возврата и формулу расчета уже написали. Мне например за неделю пройденных занятий, из 14 месяцев заявленных занятий, посчитали из оплаченных около 105000 возврат 83000. То есть неделя занятий 20000 рублей? Вы там с дуба не рухнули ребята?Курсы не советую, поверхностно, в записи;негатив
39;Материал пока вызывает у меня положительное впечатление, но сопровождение на сайте оставляет желать лучшего. Если вам важен наставник, то, возможно, здесь не ваше место. На сообщения не отвечают, что, на мой взгляд, ухудшает общий опыт дистанционного обучения.;нейтрал
40;"Учился на курсе ""Системный аналитик"". Курс подходит тем, кто уже немного знаком с темой, но всё равно было полезно. По BPMN объяснили отлично, это однозначный плюс. Однако, если совсем с нуля – может быть трудно. По SQL могло быть лучше, были моменты, когда не сразу понятно, но если упорно работать и задавать вопросы, то всё можно освоить. В общем, курс не идеален, но полезен.";нейтрал
41;Прошел обучение в Нетологии, и впечатления не самые положительные. Лекции здесь довольно стандартные и средние. Хотя материал передается структурированно и актуально, слушать становится скучновато. Преподаватели владеют своей областью, но их рассказы не увлекают. Они часто используют профессиональную лексику, из-за которой сложно понять, о чем идет речь. Приходится часто обращаться к справочникам и Wikipedia.;негатив
42;Прошел обучение в Нетологии, и впечатления не самые положительные. Лекции здесь довольно стандартные и средние. Хотя материал передается структурированно и актуально, слушать становится скучновато. Преподаватели владеют своей областью, но их рассказы не увлекают. Они часто используют профессиональную лексику, из-за которой сложно понять, о чем идет речь. Приходится часто обращаться к справочникам и Wikipedia.;нейтрал
43;В данной онлайн школе этот курс не первый. Очень удобный интерфейс и навигация по курсу. Результат курса есть, сложно оценить результативность его самого, т.к. он наложился на раннее пройденные, что скорее всего, мне дало наилучший результат. Эта тема, я считаю, сейчас актуальна как никогда.;позитив
44;Ужасный курс. На этом можно закончить, но кратко опишу что поддержки как таковой нет только чат, по сути остаетесь 1 на 1 с материалом причем материал крайне сложен для понимания особенно новичкам как я. Для себя мало что изучил из курса разве что roadmap понятный там.;негатив
45;Платформа очень удобная для освоения чего-либо, доступным языком описана теоретическая часть + очень много ссылок на сторонние ресурсы с подкастами и доп.материалами. Очень удобно всем пользоваться, «разжевывают» все очень подробно. Лично у меня дополнительных вопросов в рамках изучения тем создавалось прям минимум (и то - всегда локальные и редкие случаи больше разбирали.Кажется, что слишком лояльное отношение к студентам (к примеру мне) мешало в изучении основ профессии. Понятное дело, что мы взрослые люди и обучение на платной основе предполагает соблюдения каких-то нормы сервиса и качественного оказания услуг. Но все же - обучение это обучение, на своих и чужих ошибках мы должны учиться и преодолевать самостоятельно какие-то проблемы и решать задачи, особенно пока это в рамках обучение, а не реальной работы. Будто бы слишком лояльно относились к ошибкам.;нейтрал
46;Среди всех платных курсов, которые предлагают другие площадки, курс SkillFactory наиболее полно с 0 до профи дает возможность изучить все аспекты языка SQL. Лично я особенно обращала внимание на раздел выше базового, т.к. работаю аналитиком и хотела сразу применить сложные запросы к своей работе. Отлично было то, что есть не только видео-объяснения, но и текст теории, т.к. перематывать видео до нужных моментов не вариант, когда нужно часто вспоминать какие-то моменты из объяснений. Из минусов можно сказать, что некоторые темы сложнее воспринимаются из-за примера баз данных, но, возможно, так показалось только мне.;позитив
47;Приобрел полный курс по анализу данных!Учусь первый месяц. Пока не отстаю от графика, но времени уходит много. (Новичок в этом деле,прохожу обучение с 0.)Учишься самостоятельно.Есть учебный план которого желательно придерживаться. Если что-то не понятно, то можно задать вопрос ментору в Slack. Отвечают быстро и всегда помогут решит задание до конца. Также есть вебинары. Они случаются регулярно. Slack это очень важный инструмент. С его помощью студенты задают вопросы специалистам курса и общаются друг с другом на разные темы.;позитив
48;"Никогда не покупайте курсы Skillbox. Рекламировали курс: ""Освоите новую профессию, если не трудоустроитесь в течении 2-ух месяцев, то вернем Вам деньги"". Выбрала курс Иллюстратора. Очень мало обучающего материала - только 1% нужных Вам знаний дают на курсах, остальные 99% надо самостоятельно искать в интернете. Кураторы ничего не объясняют, сразу отправляют искать в интернете. Отправляешь задание на проверку, куратор пишет, что переделать. Во второй раз отправляешь тоже самое (без исправления), куратор пишет, что все сделано хорошо. Кураторы очень недружелюбные, Ваше продвижение никого не интересует. Кураторы пишут Вам ответ в час ночи, в два часа или шесть утра. Никто не считается с вашим временем.не тратьте деньги, время и нервы на прохождение курсов в Skillbox, в интернете много бесплатных курсов на них научитесь большему. Сертификат Skillbox не котируется.";негатив
49;В общем, я прошла этот курс по презентациям и если честно, не ожидала, что будет так полезно. Раньше терпеть не могла делать слайды и звсегда тянула до последнего, а сейчас хоть какая то уверенность появилась. Объясняют без воды, показывают на примерах как делать красиво и, главное, понятно. Мне понравилось, что дают конкретные схемы куда что ставить, какой шрифт выбрать итд Перестала делать эти ужасные пёстрые слайды, как раньше));позитив
50;Приготовьтесь к возможному игнору от куратора, связь с преподавателями не всегда легкая. Недоволен этой школой, но я могу учить аналитику на YouTube! В моем опыте обратной связи не хватает, либо отвечают наугад. Не впечатлило!;негатив
