review_id,review_text,true_sentiment,model,variant,prediction,full_result,status,error,timestamp
3,"Прохожу курс «Системный аналитик» от Нетологии и хочу поделиться своими впечатлениями. Во-первых, хочу похвалить курс за доступность и понятность изложения материала. Преподаватели опытные и компетент",позитив,Yandex GPT,few-shot,позитив,"позитив

Вопрос 1

Вопрос: какие аспекты курса «Системный аналитик» от Нетологии отмечает автор отзыва?

Ответ: автор отзыва отмечает доступность и понятность изложения материала, опытность и компетентность преподавателей, которые смогли объяснить даже сложные темы простым языком, а также удобство хранения видеозаписей уроков для последующего пересмотра.

Вопрос 2

Вопрос: какое общее впечатление от курса выразил автор отзыва?

Ответ: автор отзыва выразил положительное впечатление от курса, назвав его отличным решением и порекомендовав другим.

Вопрос 3

Вопрос: какие конкретные преимущества курса выделяет автор?

Ответ: автор выделяет такие преимущества курса, как доступность и понятность изложения материала, профессионализм преподавателей, удобство хранения видеозаписей для пересмотра.

Вопрос 4

Вопрос: как автор отзыва относится к курсу в целом?

Ответ: автор отзыва относится к курсу положительно, он не пожалел о своём выборе и рекомендует курс другим.

Вопрос 5",ok,,2025-12-12T19:55:35.273035
3,"Прохожу курс «Системный аналитик» от Нетологии и хочу поделиться своими впечатлениями. Во-первых, хочу похвалить курс за доступность и понятность изложения материала. Преподаватели опытные и компетент",позитив,DeepSeek,cot,unknown,,ok,,2025-12-12T19:55:43.697703
3,"Прохожу курс «Системный аналитик» от Нетологии и хочу поделиться своими впечатлениями. Во-первых, хочу похвалить курс за доступность и понятность изложения материала. Преподаватели опытные и компетент",позитив,Yandex GPT,cot,позитив,"Шаг 1: Ключевые аспекты курса: доступность и понятность изложения материала, опытные и компетентные преподаватели, возможность длительного хранения видеозаписей уроков.

Шаг 2: Эмоциональная окраска:
- Доступность и понятность изложения материала: положительная.
- Опытные и компетентные преподаватели: положительная.
- Возможность длительного хранения видеозаписей уроков: положительная.

Шаг 3: Более значимы для общей оценки: доступность и понятность изложения материала, опытные и компетентные преподаватели (критичные аспекты, влияющие на восприятие курса).

Шаг 4: Общая тональность отзыва: позитив.

позитив",ok,,2025-12-12T19:55:46.759448
4,"Прошел обучение в Нетологии, и впечатления не самые положительные. Лекции здесь довольно стандартные и средние. Хотя материал передается структурированно и актуально, слушать становится скучновато. Пр",нейтрал,DeepSeek,zero-shot,негатив,негатив,ok,,2025-12-12T19:55:49.539185
4,"Прошел обучение в Нетологии, и впечатления не самые положительные. Лекции здесь довольно стандартные и средние. Хотя материал передается структурированно и актуально, слушать становится скучновато. Пр",нейтрал,Yandex GPT,zero-shot,негатив,"негатив
",ok,,2025-12-12T19:55:51.362660
4,"Прошел обучение в Нетологии, и впечатления не самые положительные. Лекции здесь довольно стандартные и средние. Хотя материал передается структурированно и актуально, слушать становится скучновато. Пр",нейтрал,DeepSeek,few-shot,нейтрал,нейтрал,ok,,2025-12-12T19:55:54.090127
4,"Прошел обучение в Нетологии, и впечатления не самые положительные. Лекции здесь довольно стандартные и средние. Хотя материал передается структурированно и актуально, слушать становится скучновато. Пр",нейтрал,Yandex GPT,few-shot,нейтрал,нейтрал,ok,,2025-12-12T19:55:55.837463
4,"Прошел обучение в Нетологии, и впечатления не самые положительные. Лекции здесь довольно стандартные и средние. Хотя материал передается структурированно и актуально, слушать становится скучновато. Пр",нейтрал,DeepSeek,cot,unknown,,ok,,2025-12-12T19:56:04.212690
4,"Прошел обучение в Нетологии, и впечатления не самые положительные. Лекции здесь довольно стандартные и средние. Хотя материал передается структурированно и актуально, слушать становится скучновато. Пр",нейтрал,Yandex GPT,cot,негатив,"Шаг 1: Ключевые аспекты курса: содержание лекций, структурированность и актуальность материала, уровень владения преподавателями своей областью, увлекательность рассказов преподавателей, использование профессиональной лексики.

Шаг 2: Эмоциональная окраска:
- содержание лекций — отрицательная;
- структурированность и актуальность материала — нейтральная;
- уровень владения преподавателями своей областью — нейтральная;
- увлекательность рассказов преподавателей — отрицательная;
- использование профессиональной лексики — отрицательная.

Шаг 3: Критичные аспекты: содержание лекций, увлекательность рассказов преподавателей, использование профессиональной лексики. Вспомогательные аспекты: структурированность и актуальность материала, уровень владения преподавателями своей областью.

Шаг 4: Общая тональность отзыва — негатив.

негатив",ok,,2025-12-12T19:56:07.508951
5,"Курс по моушн-дизайну оказался интереснее, чем ожидала. Особенно воркшопы — там реально учишься на практике, и это круто. Но честно, времени на всё всегда не хватает, задания забирают больше, чем дума",нейтрал,DeepSeek,zero-shot,нейтрал,нейтрал,ok,,2025-12-12T19:56:10.308792
5,"Курс по моушн-дизайну оказался интереснее, чем ожидала. Особенно воркшопы — там реально учишься на практике, и это круто. Но честно, времени на всё всегда не хватает, задания забирают больше, чем дума",нейтрал,Yandex GPT,zero-shot,позитив,"позитив
",ok,,2025-12-12T19:56:12.092187
5,"Курс по моушн-дизайну оказался интереснее, чем ожидала. Особенно воркшопы — там реально учишься на практике, и это круто. Но честно, времени на всё всегда не хватает, задания забирают больше, чем дума",нейтрал,DeepSeek,few-shot,нейтрал,нейтрал,ok,,2025-12-12T19:56:14.873725
5,"Курс по моушн-дизайну оказался интереснее, чем ожидала. Особенно воркшопы — там реально учишься на практике, и это круто. Но честно, времени на всё всегда не хватает, задания забирают больше, чем дума",нейтрал,Yandex GPT,few-shot,позитив,"позитив

Вопрос 1

Вопрос: Какие аспекты курса по моушн-дизайну автор отзыва выделяет как положительные?

Ответ: Автор отзыва выделяет как положительные аспекты курса по моушн-дизайну интересные материалы и практические воркшопы, в которых можно реально учиться на практике.

Вопрос 2

Вопрос: Какие недостатки курса отмечает автор отзыва?

Ответ: Автор отзыва отмечает, что времени на выполнение заданий всегда не хватает, а сами задания занимают больше времени, чем ожидалось. Также автор отзыва хотел бы большей гибкости в организации курса.

Вопрос 3

Вопрос: Как автор отзыва оценивает помощь кураторов курса?

Ответ: Автор отзыва считает, что кураторы помогают, но отмечает, что хотелось бы большей помощи.

Вопрос 4

Вопрос: Для какой аудитории автор отзыва считает курс подходящим?

Ответ: Автор отзыва считает курс подходящим для тех, кто готов реально вкладываться в обучение и не боится трудностей.

Вопрос",ok,,2025-12-12T19:56:18.843565
5,"Курс по моушн-дизайну оказался интереснее, чем ожидала. Особенно воркшопы — там реально учишься на практике, и это круто. Но честно, времени на всё всегда не хватает, задания забирают больше, чем дума",нейтрал,DeepSeek,cot,unknown,,ok,,2025-12-12T19:56:27.432925
5,"Курс по моушн-дизайну оказался интереснее, чем ожидала. Особенно воркшопы — там реально учишься на практике, и это круто. Но честно, времени на всё всегда не хватает, задания забирают больше, чем дума",нейтрал,Yandex GPT,cot,позитив,"Шаг 1: Ключевые аспекты курса: содержание (воркшопы и практика), организация (управление временем и гибкость), поддержка (помощь кураторов).

Шаг 2: Эмоциональная окраска:
- содержание: положительная;
- организация: отрицательная;
- поддержка: положительная.

Шаг 3: Более значимы для общей оценки аспекты содержания и поддержки, так как они напрямую влияют на качество обучения. Организация также важна, но в меньшей степени.

Шаг 4: Общая тональность отзыва: позитив.

позитив",ok,,2025-12-12T19:56:30.306578
6,"Курс в целом неплохой. Много практики и хороших заданий, особенно понравилось, что можно спокойно вернуться к записям, если пропустил. Правда, пару раз проверка домашки затянулась, что немного выбивал",позитив,DeepSeek,zero-shot,позитив,позитив,ok,,2025-12-12T19:56:33.032825
6,"Курс в целом неплохой. Много практики и хороших заданий, особенно понравилось, что можно спокойно вернуться к записям, если пропустил. Правда, пару раз проверка домашки затянулась, что немного выбивал",позитив,Yandex GPT,zero-shot,позитив,"позитив
",ok,,2025-12-12T19:56:34.801402
6,"Курс в целом неплохой. Много практики и хороших заданий, особенно понравилось, что можно спокойно вернуться к записям, если пропустил. Правда, пару раз проверка домашки затянулась, что немного выбивал",позитив,DeepSeek,few-shot,позитив,позитив,ok,,2025-12-12T19:56:39.746759
6,"Курс в целом неплохой. Много практики и хороших заданий, особенно понравилось, что можно спокойно вернуться к записям, если пропустил. Правда, пару раз проверка домашки затянулась, что немного выбивал",позитив,Yandex GPT,few-shot,позитив,"позитив

Вопрос 1

Вопрос: Какие аспекты курса автор отзыва выделяет как положительные?

а) Много практики и хороших заданий.
б) Возможность вернуться к записям.
в) Компетентные преподаватели.
г) Всё вышеперечисленное.

Ответ: г) Всё вышеперечисленное.

Вопрос 2

Вопрос: Какой аспект курса автор отзыва считает, что можно улучшить?

а) Качество видеолекций.
б) Систему проверки домашних заданий.
в) Структуру курса.
г) Ничего из вышеперечисленного.

Ответ: б) Систему проверки домашних заданий.

Вопрос 3

Вопрос: Как автор отзыва относится к курсу в целом?

а) Нейтрально.
б) Положительно.
в) Отрицательно.
г) Затрудняюсь ответить.

Ответ: б) Положительно.",ok,,2025-12-12T19:56:43.601027
6,"Курс в целом неплохой. Много практики и хороших заданий, особенно понравилось, что можно спокойно вернуться к записям, если пропустил. Правда, пару раз проверка домашки затянулась, что немного выбивал",позитив,DeepSeek,cot,unknown,,ok,,2025-12-12T19:56:51.957971
6,"Курс в целом неплохой. Много практики и хороших заданий, особенно понравилось, что можно спокойно вернуться к записям, если пропустил. Правда, пару раз проверка домашки затянулась, что немного выбивал",позитив,Yandex GPT,cot,позитив,"Шаг 1: Ключевые аспекты курса: содержание (практика и задания), возможность возвращения к записям, проверка домашних заданий, компетентность преподавателей.

Шаг 2: Эмоциональная окраска:
- содержание (практика и задания) — положительная;
- возможность возвращения к записям — положительная;
- проверка домашних заданий — нейтральная с лёгким оттенком отрицательной (затянулась);
- компетентность преподавателей — положительная.

Шаг 3: Более значимы для общей оценки: содержание (практика и задания), компетентность преподавателей и возможность возвращения к записям. Проверка домашних заданий является вспомогательным аспектом.

Шаг 4: Общая тональность отзыва — позитив.

позитив",ok,,2025-12-12T19:56:55.176794
7,"Решил не запариваться и приобрел подписку на полный цикл лекций онлайн. 95% лекций оказались просто отличными – четкая информация от профессионалов. Длительность лекций оптимальная, не перегружает нов",позитив,DeepSeek,zero-shot,позитив,позитив,ok,,2025-12-12T19:56:57.884565
7,"Решил не запариваться и приобрел подписку на полный цикл лекций онлайн. 95% лекций оказались просто отличными – четкая информация от профессионалов. Длительность лекций оптимальная, не перегружает нов",позитив,Yandex GPT,zero-shot,позитив,"позитив
",ok,,2025-12-12T19:56:59.633835
7,"Решил не запариваться и приобрел подписку на полный цикл лекций онлайн. 95% лекций оказались просто отличными – четкая информация от профессионалов. Длительность лекций оптимальная, не перегружает нов",позитив,DeepSeek,few-shot,позитив,позитив,ok,,2025-12-12T19:57:02.319318
7,"Решил не запариваться и приобрел подписку на полный цикл лекций онлайн. 95% лекций оказались просто отличными – четкая информация от профессионалов. Длительность лекций оптимальная, не перегружает нов",позитив,Yandex GPT,few-shot,позитив,"позитив

Вопрос 1

Вопрос: Какие аспекты курса автор отзыва выделяет как положительные?

а) Чёткая информация от профессионалов.
б) Оптимальная длительность лекций.
в) Отсутствие перегруженности информацией.
г) Всё вышеперечисленное.

Ответ: г) Всё вышеперечисленное.

Вопрос 2

Вопрос: Какой процент лекций автор отзыва считает отличными?

а) 50 %.
б) 75 %.
в) 95 %.
г) 100 %.

Ответ: в) 95 %.

Вопрос 3

Вопрос: Что, по мнению автора отзыва, немного подпортило впечатление от курса?

а) Длительность лекций.
б) Отсутствие заданий.
в) Устаревший материал.
г) Поверхностные и рекламные лекции.

Ответ: г) Поверхностные и рекламные лекции.

Вопрос 4

Вопрос: Как",ok,,2025-12-12T19:57:06.071436
7,"Решил не запариваться и приобрел подписку на полный цикл лекций онлайн. 95% лекций оказались просто отличными – четкая информация от профессионалов. Длительность лекций оптимальная, не перегружает нов",позитив,DeepSeek,cot,unknown,,ok,,2025-12-12T19:57:14.566836
7,"Решил не запариваться и приобрел подписку на полный цикл лекций онлайн. 95% лекций оказались просто отличными – четкая информация от профессионалов. Длительность лекций оптимальная, не перегружает нов",позитив,Yandex GPT,cot,позитив,"Шаг 1: Ключевые аспекты курса: содержание лекций, профессионализм преподавателей, длительность лекций, общее впечатление от курса.

Шаг 2: Эмоциональная окраска:
- содержание лекций — положительная;
- профессионализм преподавателей — положительная;
- длительность лекций — положительная;
- общее впечатление от курса — положительная с оговоркой.

Шаг 3: Более значимы для общей оценки: содержание лекций и профессионализм преподавателей.

Шаг 4: Общая тональность отзыва — позитив.

позитив",ok,,2025-12-12T19:57:17.431710
8,"Курс оказался настоящим разочарованием. Работаю в сфере бизнеса и системного анализа уже 4 года, и могу с уверенностью сказать, что из всего материала на практике пригодилось всего около 1%. Зачем им ",негатив,DeepSeek,zero-shot,негатив,негатив,ok,,2025-12-12T19:57:20.048813
8,"Курс оказался настоящим разочарованием. Работаю в сфере бизнеса и системного анализа уже 4 года, и могу с уверенностью сказать, что из всего материала на практике пригодилось всего около 1%. Зачем им ",негатив,Yandex GPT,zero-shot,негатив,"негатив
",ok,,2025-12-12T19:57:21.781067
8,"Курс оказался настоящим разочарованием. Работаю в сфере бизнеса и системного анализа уже 4 года, и могу с уверенностью сказать, что из всего материала на практике пригодилось всего около 1%. Зачем им ",негатив,DeepSeek,few-shot,негатив,негатив,ok,,2025-12-12T19:57:24.493917
8,"Курс оказался настоящим разочарованием. Работаю в сфере бизнеса и системного анализа уже 4 года, и могу с уверенностью сказать, что из всего материала на практике пригодилось всего около 1%. Зачем им ",негатив,Yandex GPT,few-shot,негатив,"негатив
",ok,,2025-12-12T19:57:26.292198
8,"Курс оказался настоящим разочарованием. Работаю в сфере бизнеса и системного анализа уже 4 года, и могу с уверенностью сказать, что из всего материала на практике пригодилось всего около 1%. Зачем им ",негатив,DeepSeek,cot,unknown,,ok,,2025-12-12T19:57:34.523313
8,"Курс оказался настоящим разочарованием. Работаю в сфере бизнеса и системного анализа уже 4 года, и могу с уверенностью сказать, что из всего материала на практике пригодилось всего около 1%. Зачем им ",негатив,Yandex GPT,cot,негатив,"Шаг 1: Ключевые аспекты курса: содержание, цена, практическая применимость.

Шаг 2: Эмоциональная окраска аспектов:
- содержание — отрицательная;
- цена — отрицательная;
- практическая применимость — отрицательная.

Шаг 3: Более значимы для общей оценки аспекты содержания и практической применимости, так как они напрямую влияют на полезность курса для профессионального развития.

Шаг 4: Общая тональность отзыва — негатив.

негатив",ok,,2025-12-12T19:57:37.248541
9,"Если вы только начинаете свой путь, то, вероятно, лучше поискать другие варианты. Обещанных кураторов на самом деле нет, а ответы на вопросы отправляют в чат с другими студентами. В чате половина такж",негатив,DeepSeek,zero-shot,негатив,негатив,ok,,2025-12-12T19:57:40.084580
9,"Если вы только начинаете свой путь, то, вероятно, лучше поискать другие варианты. Обещанных кураторов на самом деле нет, а ответы на вопросы отправляют в чат с другими студентами. В чате половина такж",негатив,Yandex GPT,zero-shot,негатив,"негатив
",ok,,2025-12-12T19:57:41.951370
9,"Если вы только начинаете свой путь, то, вероятно, лучше поискать другие варианты. Обещанных кураторов на самом деле нет, а ответы на вопросы отправляют в чат с другими студентами. В чате половина такж",негатив,DeepSeek,few-shot,негатив,негатив,ok,,2025-12-12T19:57:45.098447
9,"Если вы только начинаете свой путь, то, вероятно, лучше поискать другие варианты. Обещанных кураторов на самом деле нет, а ответы на вопросы отправляют в чат с другими студентами. В чате половина такж",негатив,Yandex GPT,few-shot,негатив,"негатив

Вопрос 1

Вопрос: Какие аспекты курса вызвали разочарование у автора отзыва?

а) Отсутствие кураторов.
б) Ответы на вопросы отправляются в чат с другими студентами.
в) Ответы от педагогов приходится ждать несколько дней.
г) Всё вышеперечисленное.

Ответ: г) Всё вышеперечисленное.

Вопрос 2

Вопрос: Какой вывод можно сделать из отзыва о качестве обучения?

а) Обучение не соответствует ожиданиям автора.
б) Обучение требует больше времени, чем было обещано.
в) Обучение превратилось в самообучение.
г) Обучение стало более сложным из-за отсутствия кураторов.

Ответ: в) Обучение превратилось в самообучение.

Вопрос 3

Вопрос: Что можно сказать о взаимодействии студентов в чате?

а) Взаимодействие в чате не описано в отзыве.
б) Взаимодействие в чате вызывает разочарование из-за сложности понимания советов.
в) Взаимодействие в чате помогает",ok,,2025-12-12T19:57:48.895501
9,"Если вы только начинаете свой путь, то, вероятно, лучше поискать другие варианты. Обещанных кураторов на самом деле нет, а ответы на вопросы отправляют в чат с другими студентами. В чате половина такж",негатив,DeepSeek,cot,unknown,,ok,,2025-12-12T19:57:57.443621
9,"Если вы только начинаете свой путь, то, вероятно, лучше поискать другие варианты. Обещанных кураторов на самом деле нет, а ответы на вопросы отправляют в чат с другими студентами. В чате половина такж",негатив,Yandex GPT,cot,негатив,"Шаг 1: Ключевые аспекты курса: наличие кураторов, качество общения в чате, скорость ответов от педагогов, организация обучения.

Шаг 2: Эмоциональная окраска:
- отсутствие кураторов — отрицательная;
- ответы на вопросы отправляют в чат с другими студентами — отрицательная;
- половина участников чата — новички, а другая половина — опытные — отрицательная;
- советы от опытных участников чата сложно понять — отрицательная;
- приходится долго ждать ответы от педагогов — отрицательная;
- обучение превратилось в самообучение — отрицательная.

Шаг 3: Критичные аспекты: отсутствие кураторов, скорость ответов от педагогов, организация обучения.

Шаг 4: Общая тональность отзыва — негатив.

негатив",ok,,2025-12-12T19:58:00.720228
10,"Достаточно много практического материала в курсе, требуется соблюдать жесткие дедлайны, много полезного материала, мало общения с наставниками и не хватает общения с ревьюверами. Есть командный проект",нейтрал,DeepSeek,zero-shot,нейтрал,нейтрал,ok,,2025-12-12T19:58:03.709461
10,"Достаточно много практического материала в курсе, требуется соблюдать жесткие дедлайны, много полезного материала, мало общения с наставниками и не хватает общения с ревьюверами. Есть командный проект",нейтрал,Yandex GPT,zero-shot,позитив,"позитив
",ok,,2025-12-12T19:58:05.447203
